,BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CAM,CNT,CS,CX,CY,EEG_ENG,EEG_EXC,EEG_FRU,EEG_MED,FACE,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LPCX,LPCY,LPD,LPS,LPV,MID,MOB,RPCX,RPCY,RPD,RPS,RPV,SCLX,SCLY,SCN,TIME,TIMETICK,USER,VID,WEB
3967,0.0,0,15,1,0.6327300071716309,0.6008800268173218,1937,3972,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,632,0.6061999797821045,147,64.828857421875,0,0.6339300274848938,0.6019099950790405,0.33410999178886414,0.611299991607666,19.49217987060547,1.0259699821472168,1,0,0,0.7655500173568726,0.6465700268745422,18.763290405273438,1.0193400382995605,1,0,0,634,65.49072265625,243911830303.0,,0,0
3985,0.0,0,15,1,0.34294000267982483,0.6182000041007996,1946,3990,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,635,0.2297399938106537,148,65.45849609375,0,0.3527500033378601,0.6254900097846985,0.3156299889087677,0.6130099892616272,19.633930206298828,1.0470900535583496,1,0,0,0.7477999925613403,0.6486999988555908,19.60556983947754,1.0470900535583496,1,0,0,637,65.787353515625,243912495148.0,,0,0
4005,0.0,0,15,1,0.6589400172233582,0.5853099822998047,1956,4010,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,638,0.26269999146461487,149,65.754638671875,0,0.6544700264930725,0.581279993057251,0.33322998881340027,0.6087200045585632,20.672910690307617,1.0396900177001953,1,0,0,0.7653099894523621,0.6463800072669983,19.461570739746094,1.0396900177001953,1,0,0,640,66.114990234375,243913229061.0,,0,0
4029,0.0,0,15,1,0.36570000648498535,0.6132699847221375,1968,4034,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,642,0.32519999146461487,150,66.082763671875,0,0.36654001474380493,0.6142299771308899,0.3205699920654297,0.612030029296875,20.40127944946289,1.0623600482940674,1,0,0,0.7530999779701233,0.6495599746704102,21.533580780029297,1.0623600482940674,1,0,0,643,66.5068359375,243914107482.0,,0,0
4075,0.0,0,16,1,0.5122900009155273,0.5932000279426575,1991,4080,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,650,0.4987800121307373,151,66.473876953125,0,0.518339991569519,0.5818099975585938,0.33656999468803406,0.6078699827194214,18.950420379638672,1.062209963798523,1,0,0,0.7688300013542175,0.6489599943161011,18.755199432373047,1.062209963798523,1,0,0,651,67.270751953125,243915819279.0,,0,0
4104,0.0,0,15,1,0.5568400025367737,0.6303499937057495,2006,4109,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,654,0.4597199857234955,152,67.239501953125,0,0.5575399994850159,0.6213600039482117,0.3333500027656555,0.6049699783325195,18.390920639038086,1.0470900535583496,1,0,0,0.7648400068283081,0.6437000036239624,18.027589797973633,1.0396900177001953,1,0,0,656,67.74658203125,243916885710.0,,0,0
4126,0.0,0,15,1,0.6204000115394592,0.6147300004959106,2017,4131,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,658,0.34375,153,67.71533203125,0,0.609470009803772,0.60521000623703,0.3365100026130676,0.6030300259590149,17.485780715942383,1.024880051612854,1,0,0,0.7681900262832642,0.6430699825286865,16.92909049987793,1.032289981842041,1,0,0,659,68.111572265625,243917703917.0,,0,0
4148,0.0,0,14,1,0.5640599727630615,0.6492900252342224,2028,4153,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,661,0.3418000042438507,154,68.078125,0,0.634119987487793,0.6337699890136719,0.3349500000476837,0.6044099926948547,17.843339920043945,1.0174800157546997,1,0,0,0.7682399749755859,0.6434000134468079,17.598350524902344,1.0174800157546997,1,0,0,663,68.47509765625,243918518576.0,,0,0
4156,0.0,0,14,1,0.37494999170303345,0.6446499824523926,2032,4161,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,663,0.06543000042438507,155,68.442138671875,0,0.37770000100135803,0.6485700011253357,0.32491999864578247,0.6074100136756897,18.31678009033203,1.024880051612854,1,0,0,0.7572600245475769,0.645550012588501,18.855709075927734,1.032289981842041,1,0,0,664,68.60693359375,243918813888.0,,0,0
4187,0.0,0,14,1,0.4359000027179718,0.6326000094413757,2048,4192,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,668,0.4899899959564209,156,68.5732421875,0,0.4174399971961975,0.6582099795341492,0.3280999958515167,0.6064800024032593,18.889619827270508,1.0174800157546997,1,0,0,0.7608799934387207,0.6467300057411194,19.412399291992188,1.0174800157546997,1,0,0,669,69.117919921875,243919958931.0,,0,0
4208,0.0,0,14,1,0.4809400141239166,0.6327900290489197,2058,4213,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,671,0.32958999276161194,157,69.08447265625,0,0.4822700023651123,0.6390100121498108,0.3269599974155426,0.6069599986076355,18.569929122924805,1.054960012435913,1,0,0,0.7604100108146667,0.6464499831199646,18.01849937438965,1.0623600482940674,1,0,0,672,69.46044921875,243920726263.0,,0,0
4226,0.0,0,14,1,0.5488799810409546,0.6484500169754028,2067,4231,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,674,0.2844200134277344,158,69.4267578125,0,0.550000011920929,0.6419199705123901,0.3321300148963928,0.6070899963378906,19.156709671020508,1.0250400304794312,1,0,0,0.7645000219345093,0.6464999914169312,18.25255012512207,1.0250400304794312,1,0,0,675,69.7587890625,243921395198.0,,0,0
4254,0.0,0,14,1,0.5950599908828735,0.6437600255012512,2080,4259,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,678,0.44165000319480896,159,69.725341796875,0,0.5936400294303894,0.6468300223350525,0.33586999773979187,0.6078100204467773,18.08592987060547,1.010849952697754,1,0,0,0.7675099968910217,0.6465700268745422,17.954269409179688,1.0174800157546997,1,0,0,680,70.221923828125,243922433015.0,,0,0
4281,0.0,0,14,1,0.38065001368522644,0.6824399828910828,2094,4286,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,683,0.3764599859714508,160,70.189208984375,0,0.3800700008869171,0.6802999973297119,0.32471001148223877,0.6098799705505371,17.793659210205078,1.024880051612854,1,0,0,0.7566400170326233,0.6487900018692017,18.532119750976562,1.0174800157546997,1,0,0,684,70.665771484375,243923427418.0,,0,0
4306,0.0,0,13,1,0.47534000873565674,0.6724900007247925,2106,4311,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,686,0.39844000339508057,161,70.631591796875,0,0.450190007686615,0.6691499948501587,0.3277199864387512,0.6089000105857849,17.86054039001465,1.0477099418640137,1,0,0,0.7607300281524658,0.6486499905586243,18.11743927001953,1.0477099418640137,1,0,0,688,71.07666015625,243924348670.0,,0,0
